Start_time,Depthsum,Depths
2021.02.19,10059116,439551
2021.02.20,4407918,191812
2021.02.21,10019266,437865
2021.02.22,14004334,618709
2021.02.23,20022558,879253
2021.02.24,10151806,447575
2021.02.25,11349519,500212
2021.02.26,19572723,865680
2021.02.27,8603887,380891
2021.02.28,11346918,508779
2021.03.01,14062356,622364
2021.03.02,3343076,150139
2021.03.03,6129241,274536
2021.03.04,5650654,253458
2021.03.05,5323445,238112
2021.03.06,9450817,411013
2021.03.07,4674921,210381
2021.03.08,7305171,329265
2021.03.09,12849395,579789
2021.03.10,10276365,463023
2021.03.11,12183852,546979
2021.03.12,9742887,439612
2021.03.13,18629586,840320
2021.03.14,16714082,753587
2021.03.15,17447351,787526
2021.03.16,8486656,382143
2021.03.17,6635473,295403
2021.03.18,3979649,165566
2021.03.19,5799023,247755
2021.03.20,7358536,316826
2021.03.21,7759090,344424
2021.03.22,18076062,808399
2021.03.23,10423079,466217
2021.03.24,5526822,247376
2021.03.25,13974845,620363
2021.03.26,16426909,736737
2021.03.27,16500247,739674
2021.03.28,15680730,702965
2021.03.29,18709812,839849
2021.03.30,23464115,1051358
2021.03.31,18849232,845641
2021.04.01,23084633,1040097
2021.04.02,17407782,781737
2021.04.03,22209204,1001432
2021.04.04,21704230,976813
2021.04.05,20965684,942977
2021.04.06,23703583,1067510
2021.04.07,18169780,817214
2021.04.08,19604237,877854
2021.04.09,20907794,935576
2021.04.10,19557851,874133
2021.04.11,28089230,1255853
2021.04.12,20600762,920578
2021.04.13,22409748,987646
2021.04.14,22662050,1011926
2021.04.15,19633710,879045
2021.04.16,9312008,410618
2021.04.17,4746376,212158
2021.04.18,12074503,539024
2021.04.19,9444050,422293
2021.04.20,8624423,389418
2021.04.21,5015942,223825
2021.04.22,8367095,369537
2021.04.23,10762272,479703
2021.04.24,7415771,331525
2021.04.25,14673127,656116
2021.04.26,5028866,224832
2021.04.27,1784902,79624
2021.04.28,8325252,371004
2021.04.29,5750506,256484
2021.04.30,10518794,470653
2021.05.01,7029605,314374
